축제명,개최기간,개최지역,설명
정남진 장흥 물축제,7.27.~8.4.|10:00~22:30,전라남도 장흥군,"*하기 대표 먹거리 정보는 전년도(2023년) 축제 내용으로, 2024년도 먹거리 정보는 업데이트 중에 있습니다.*

대한민국 대표 여름축제인 정남진 장흥 물축제는 2024 ~ 2025 문화체육관광부 선정 최우수 축제다.
탐진강의 맑은 물과 장흥댐 호수 등 청정 수자원을 기반으로 모든 프로그램을 ""물”이라는 하나의 테마로 연결시켰다.
물싸움과 다양한 수상 프로그램, 워터樂 풀파티 등 주ㆍ야간 계속되는 다채로운 프로그램은 남녀노소를 불문하고 누구나 함께 즐길 수 있다.
즐거움과 낭만, 힐링이 가득한 정남진 장흥 물축제는 바쁜 일상에 지친 현대인들에게 그 동안 쌓인 피로감을 날려줄 것이고, 아이들에게는 최고의 놀이터가 된다."
영주 시원(ONE)축제,7.27.~8.4.|10:00~20:00,경상북도 영주시,"오는 7월 27일부터 8월 4일까지 9일간 영주시 중심이자 영주시민의 안식처인 서천둔치 일원에서 영주 시원(ONE) 축제가 개최된다. 영주 시민이 참여할 수 있는 콘텐츠와 남녀노소 즐길 수 있는 액티비티로 구성되어 여름 시즌 물놀이에 대한 영주시민의 갈증을 해소하고 영주시 전역에 새로운 활력을 불어넣을 것으로 기대된다.

햇살이 따사롭게 내리쬐어 어디론가 떠나고 싶은 완연한 여름, 경상북도 영주시 신설 축제인 시원(ONE) 축제에서 선선한 밤공기와 아름다운 야경을 감상하며 한여름 무더위를 달래 수 있다. 영주에서 풍성한 볼거리, 즐길 거리, 먹거리를 만끽하며 가족, 친구, 연인과 함께 예술을 즐기고 한여름 밤의 낭만의 파도에 젖어 볼 수 있다."
한국민속촌 여름축제: 마른 하늘에 물벼락,6.22.~8.25.|10:00~19:00,경기도 용인시,"여름 워터 축제 마른하늘에 물벼락은 한국민속촌이 해변가로 변해 무더위 피서객들의 곳곳에 위치한 워터캐논이 관람객들의 무더위를 시원 짜릿하게 날려버리는 행사이다. 초대형 물총 싸움 물벼락 싸움, 최첨단 워터캐논으로 범인을 잡는 수박서리 등 한국민속촌에서 올여름 무더위를 시원하게 보낼 수 있다."
한국민속촌 여름축제: 마른 하늘에 물벼락,6.22.~8.25.|10:00~19:00,경기도 용인시,"여름 워터 축제 마른하늘에 물벼락은 한국민속촌이 해변가로 변해 무더위 피서객들의 곳곳에 위치한 워터캐논이 관람객들의 무더위를 시원 짜릿하게 날려버리는 행사이다. 초대형 물총 싸움 물벼락 싸움, 최첨단 워터캐논으로 범인을 잡는 수박서리 등 한국민속촌에서 올여름 무더위를 시원하게 보낼 수 있다."
렛츠런파크 부산경남 블루밍 워터페스티벌,7.6.~8.25.|10:00~18:00,부산시 강서구,"블루밍 워터페스티벌은 어린이부터 어른까지 온 가족이 즐길 수 있는 야외 물놀이 축제로, 렛츠런파크 부산경남의 대표 여름 행사이다. 7월부터 8월까지 두 달간 이어지는 블루밍 워터페스티벌에서는 튜브를 타고 수영할 수 있는 워터풀과 길이 25m에 달하는 대형 에어슬라이드를 포함한 7개의 워터슬라이드를 즐길 수 있다. 더위를 시원하게 날릴 바닥분수와 물총놀이는 물론 푸드트럭과 다채로운 공연, 어린이 승마체험과 물놀이 용품 증정 이벤트까지 준비되어 방문객에게 풍성한 즐길 거리를 선보일 예정이다."
화담숲 여름 수국 축제,6.17.~8.23.|09:00~18:00,경기도 광주시,"경기도 광주에 위치한 화담숲이 6월 중순부터 8월 중순까지 약 두 달여간 <화담숲 여름 수국 축제>를 진행한다. 초여름에 가장 아름다움을 뽐내는 100여 품종의 7만여 본의 다채로운  수국 물결의 화려한 향연을 만끽할 수 있다. 곤지암리조트와 화담숲의 여름 대표 축제인 ‘여름 수국 축제’는 약 4,500㎡ (1,360평) 규모의 화담숲 테마원인 수국원을 비롯하여 곤지암리조트 전역에서 진행된다. 곤지암리조트 입구를 시작으로 화담숲 수국원까지 이르는 전역을 100여 종 7만여 본의 다채로운 수국 무리가 저마다의 빛깔로 물결을 이룬다.

특히 약 4,500㎡(1,360평) 규모의 화담숲 ‘수국원’은 총 16개의 테마원 가운데 여름에 가장 아름다운 곳으로, 시원하게 떨어지는 폭포와 짙푸른 신록 사이로 산수국 군락이 꽃망울을 터트린다. 푸른 잎사귀를 포근히 감싸고 있는 꽃잎이 예술인 ‘산수국’, 나무를 형성하여 강인하면서도 여린 순백의 매력을 뽐내는 ‘목수국’ 소복하고 자그마한 눈사람이 떠오르는 ‘미국수국’, 조밀한 꽃들이 모여 한 송이 부케와 같은 ‘큰잎수국’  등 다채롭게 푸른빛의 신비로움을 자아내는 수국들이 저마다의 아름다움을 뽐내어 여름 여행의 인생 사잔을 남길 수 있다."
태백 해바라기축제,7.19.~8.15.|07:00~18:00,강원도 태백시,"태백 해바라기 축제는 해바라기 문화 재단과 구와우마을 축제 위원회가 주최. 주관하는 순수 민간주도형 축제로서, 저희 재단과 구와우 해바라기 마을이 가고자 하는 분명한 방향은 자연 보다 더 훌륭한 작품은 없으므로 그 자연을 현명하게 이용하여, 대지라는 캔버스 위에 해바라기의 노란색을 칠하고  예술가들의 인간적인 행위를 더하여 건강한 공간, 자연스러운 곳, 가보고 싶은 장소, 세상에서 하나밖에 없는 공간으로 이 구와우 마을을 여러분과 함께 만들고자 한다."
삼척동해왕이사부축제,7.20.~7.21.|10:00~21:00,강원도 삼척시,"1,500년 전 신라시대 우산국(울릉도, 독도)을 우리 영토로 복속시킨 이사부 장군의 해양개척정신을 계승, 발전시키고, 이사부라는 역사적 인물의 브랜드화를 테마로 하는 역사,문화,예술축제.
특히 축제장소인 삼척 오십천은 이사부 장군이 우산국 정벌에 앞서 함대를 제작했을 장소로, 이번 축제를 통해 오십천과 이사부의 연결고리를 만들어 나가게 된다.
오는 7월 20일~7월 21일 이틀간 삼척에서 펼쳐지는 ""2024 삼척동해왕이사부축제"" 는 이사부장군배 용선(드래곤보트)대회, 이사부 여름놀이터(육상 워터파크), 수상레저체험(카누, 카약 등), 이사부 퀴즈대회, 이사부 가요제 및 이사부 전국 인디밴드 경연대회 등 다양한 프로그램으로 펼쳐진다."
울산조선해양축제,7.19.~7.21.|10:00~22:00,울산시 동구,"2024 울산조선해양축제는 2024년 7월 19일(금)~21일(토) 3일간 해양관광도시 울산광역시 동구 일산해수욕장에서 열리는 행사이다. 19일 금요일 축하공연으로 이루어진 개막식을 시작으로 기발한배 콘테스트, 나이트런 일산과 같은 전 연령대를 아우르는 킬러 콘텐츠가 펼쳐진다. 또한 동구관광투어와 해양레포츠체험 같은 다채로운 체험·참여·전시·투어 프로그램을 제공한다. 이 외에도 일산 EDM 페스티벌, 야심한 밤에 버스킹 등 여러 장르의 무대 프로그램이 있다. 그뿐만 아니라 일산 썸머빌리지와 같은 해변 휴게공간도 마련되어 즐길 거리가 풍부하다."
삼양검은모래축제,7.19.~7.20.|09:00~20:00,제주도 제주시,"삼양검은모래축제는 휴가철을 맞이하여 삼양 검은 모래 해변과 에메랄드빛 바다를 배경으로 하는 생태 힐링 축제이다. 삼양검은모래축제에서 건강에 유익한 검은 모래찜질 및 걷기 등을 체험하며, 또한 시원한 바람과 함께 스트레스를 날릴 수 있는 서핑, 요트, 비치사커 등 해양레저 체험할 수 있다. 더불어 야(夜) 밤에는 화려한 불꽃놀이 등 좋은 볼거리를 제공한다."
WASBE 세계관악컨퍼런스 경기 광주,7.16.~7.20.,경기도 광주시,"전 세계를 순회하며 2년에 한 번 열리는 관악의 올림픽이자 대한민국 최초로 경기 광주시에서 열리는 2024 제20회 WASBE 세계관악컨퍼런스이다. 50개국 1,000여 명 세계 최고의 연주자들이 한자리에 모이는 글로벌 이벤트이다."
여름꽃 & 능소화축제,5.15.~7.20.|09:00~18:00,제주도 제주시,하늘을 능가하는 아름다운 능소화꽃이 일천여미터의 규모로 펼쳐지는 대표 제주여름꽃축제다. 주홍색 꽃비가 내리는 매혹적인 아름다움을 보고 느끼고 즐기는 능소화축제다.
아침고요수목원 수국전시회,6.15.~7.14.|08:30~19:00,경기도 가평군,"미국수국, 넓은잎수국, 산수국, 떡갈잎수국 등 각양각색의 수국 약 200점을 선보이며 여름 수목원을 낭만적인 보랏빛 물결로 가득 채울 예정이다. 또한 수국 1,500분이 추가되어 지난해보다 풍성해진 포토존이 준비된다. 싱그러운 수국으로 빼곡하게 채운 벽을 사랑스러운 메시지가 담긴 가랜드로 꾸민 ‘수국 벽 포토존’과 작년 방문객에게 좋은 반응을 얻었던 ‘스마트폰 프레임 포토존’까지 준비되어 있다."
부산스텝업댄스페스티벌,7.4.~7.7.|15:00~21:00,부산시 부산진구,"21만 명이 넘는 많은 분들의 사랑과 관심을 받은 부산 댄스 페스티벌이 2024년 세계적인 축제 및 대회로 거듭나기 위해 새로운 브랜드 네임과 새로운 프로그램으로 개최된다.
부산의 대표 청년 콘텐츠로 자리매김하게 될 이번 행사는 1:1배틀부터 주니어, 청년 스트리트 댄서들의 경연과 푸드&패션 마켓, 클래스, 토크쇼 등 다채롭게 준비되어 있다."
제주민속촌 메밀꽃축제,6.21.~7.7.|08:30~19:00(매표마감18:00),제주도 서귀포시,"제주민속촌에서는 오는 6월 21일(금)부터 “제주민속촌 메밀꽃축제-제주초가 꽃마당전”을 개최한다. 메밀꽃 축제기간에 민속촌을 방문하면 제주초가를 배경으로 새하얗게 만개한 메밀꽃을 만나 볼 수 있다. 제주민속촌 산촌 메밀꽃밭 일대에서는 아름다운 인생샷을 남길 수 있도록 감성포토존을 설치하여 운영할 예정이며 29, 30일에는 페이스 페인팅과 삐에로 풍선 아트 공연도 진행하여 더욱 풍성한 축제가 될 수 있도록 준비하였다. 이번 축제는 전국 메밀 생산량의 60% 이상을 생산하는 제주 메밀을 많이 알리고자 기획했으며 앞으로도 제주 초가 마당을 활용한 꽃축제를 시리즈로 기획하여 지속적으로 진행할 계획이다."
경남고성옥수수(쫀달고)축제,7.6.~7.7.|10:00~18:00,경상남도 고성군,경남고성옥수수 쫀달고 축제는 당동만 해풍을 맞고 자라 더욱 쫀득하고 달콤한 명품 고성옥수수를 널리 홍보하고자 개최하는 축제이다.
부여서동연꽃축제,7.5.~7.7.,충청남도 부여군,"선화공주와 백제무왕의 서동요 전설이 깃든 우리나라 최고(最古)의 인공연못 ""궁남지""의 천만송이 연꽃을 배경으로 2024년 제22회 부여서동연꽃축제는 ""사랑의 연, 서동과 선화의 만남""이라는 주제로 펼쳐지는 대한민국 여름대표 축제이다."
구팔일 댕댕이 레이싱!,3.2.~7.20.|매주토요일16:00,제주도 제주시,"반려견 액티비티 축제 ‘구팔일 댕댕이 레이싱!’을 즐길 수 있다. 

제주 반려동물동반여행 필수코스가 된 9.81파크의<반려견과 함께 981패키지 Presented by 설채현>가 3월부터 정식 프로그램으로 운영된다."
영천동 해바라기 축제,7.12.~7.14.|10:00~21:00,제주도 서귀포시,"나비박사로 불리는 세계적인 곤충학자 석주명(1908~1950) 이 발자취의 영향으로 ‘나비 마을이라 불리는 영천동은 한라산 중턱 아래 자연 그대로 피어있는 있는 야생화, 마을 거주지로 이어지는 아늑한 올레, 과수원을 감싼 돌담길, 제주어를 정감있게 사용하는 마을 분들까지 때묻지 않은 아름다운 제주를 고스란히 간직한 곳이다. 2024년 영천동 해바라기 축제는 7월 12일~ 7월 14일, 오전 10시 – 밤 9시까지 서귀포시 토평동 2981(헬스케어타운) 일원에서 3일간 펼쳐진다."
강주해바라기 축제,6.22.~7.14.|09:00~18:00,경상남도 함안군,더 멋지게 돌아온 제12회 함안 강주해바라기 축제는 6월 26일부터 이어지는 축제로써 다채로운 행사와 아름다운 해바라기 꽃을 바라보면서 감성과 재미를 더 할 수 있다.
대한민국 펫캉스,7.12.~7.14.|10:00~18:00,경상북도 구미시,"반려동물 인구 1500만 시대, 반려동물과 함께하는 여가산업과 관광산업 시장이 활성화 추세이다. 경상북도와 구미시 후원으로 진행되는 해당 축제는 구미시 동물 정책사업 홍보와 다양한 반려동물 콘테츠 개발을 위한 자리로 반려견, 반려묘뿐 아니라 파충류, 양서류 등 다양한 반려동물을 위한 공간이 마련된다. 유기 동물 입양 캠페인을 통한 사회적 문제 해결은 물론 펫 산업 관련 기관 및 업체 등이 참여, 반려인을 위한 행사이다."
원동면 여름을 담다,6.15.~7.14.|10:00~22:00,경상남도 양산시,"경남 양산시 원동면 일대에서 특산품인 산딸기, 매실, 옥수수 관련 축제이다.

산딸기 에이드 만들기 체험, 매실따기 체험, 매실청 만들기 체험, 옥수수 따기 체험 등이 있다.

매실을 이용한 매실국수, 전, 원동 깡냉이 막걸리 등을 맛볼수 있다."
